scenario;cold;warm;sources-changed;reqs-changed;dev-reqs-changed
01-simple;20.61 (19.467 - 22.49);0.4535 (0.42 - 0.76);1.6415 (1.573 - 1.961);1.6284999999999998 (1.577 - 1.696);1.8165 (1.763 - 2.284)
02-simple-slim;10.413499999999999 (9.971 - 11.82);0.4365 (0.414 - 0.675);1.6195 (1.584 - 2.463);1.6230000000000002 (1.588 - 1.795);1.836 (1.742 - 1.952)
03-multistage;21.066499999999998 (19.574 - 22.684);0.6645000000000001 (0.632 - 0.805);1.2679999999999998 (1.226 - 1.319);1.3105 (1.285 - 1.398);1.3530000000000002 (1.331 - 1.406)
04-no-root;21.1705 (19.413 - 22.053);0.6665000000000001 (0.601 - 0.748);1.391 (1.36 - 1.563);1.4460000000000002 (1.41 - 1.788);1.4595 (1.431 - 1.487)
05-final;20.587 (19.468 - 21.775);0.6884999999999999 (0.656 - 0.826);0.4575 (0.441 - 0.541);1.448 (1.406 - 1.536);1.319 (1.277 - 1.383)
06-final-slim-build;10.243 (9.934 - 10.68);0.643 (0.435 - 0.828);0.4585 (0.424 - 0.482);1.4369999999999998 (1.422 - 1.491);1.307 (1.282 - 1.669)
